FID,OBJECTID,COMPKEY,STNAME_ORD,FLOWSEGID,DOWNTOWN,START_DATE,AMPK,PMPK,AWDT,ADT,AWDT_ROUND,DATAQUALIT,FLAGS,SegStatus,CreateDate,Creator,ModifiedDa,ID,STUDY_TITL,COMPKEY_1,UNIT_ID_UN,DIR_FLOW,LANE,DAYS,Min_NORM_A,Max_NORM_A,Ave_NORM_A,Shape_Leng,ADJUST,Shape__Length
1400,0,17262,NE 65TH ST,1628,N,2/19/2020 12:00:00 AM,1111,1237,15885,15610,11400,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334129,"NE 65TH ST, E/O ROOSEVELT WAY NE",17262,13465/0100,TOTAL,STANDARD,7,0,0,0,420.113136739, ,420.113136738763
1401,0,"11512,11511,11515,11514,11513",M L KING JR WAY S,492,N,2/18/2020 12:00:00 AM,1288,1367,15663,14556,11200,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,333994,"M L KING JR WAY S, N/O S HILL ST",11514,08293/0200,TOTAL,STANDARD,7,0,0,0,1703.81820947, ,1703.81820947182
1402,0,"12592,12594,12593",ROOSEVELT WAY NE,1409,N,2/19/2020 12:00:00 AM,1213,1109,12050,11047,8700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334599,"ROOSEVELT WAY NE, S/O NE 42ND S ST",12594,09485/0410,S,STANDARD,7,0,0,0,545.924889616, ,545.924889616401
1403,0,13357,WALL ST,1000,Y,4/28/2020 12:00:00 AM,183,211,2813,2708,4300,Study(Normalized20),COVID,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334773,"WALL ST, NE/O 3RD AVE",13357,10295/0030,SW,STANDARD,7,0,0,0,321.792751959, ,321.792751959244
1404,0,"11746,11749,11835,11748,11747",MERIDIAN AVE N,1915,N,7/9/2020 12:00:00 AM,173,287,2617,2359,2700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335338,"MERIDIAN AVE N, S/O N 133RD ST",11746,08620/1320,TOTAL,STANDARD,7,0,0,0,1993.07385264, ,1993.07385264387
1405,0,13148,THORNDYKE AVE W,1207,N,10/23/2020 12:00:00 AM,114,219,1942,1867,1900,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335779,"THORNDYKE AVE W, N/O W GALER ST",13148,10060/0150,TOTAL,STANDARD,7,0,0,0,736.948010548, ,736.948010544499
1406,0,"2651,2652,2654,2655,2653","19TH AVE,19TH AVE E",1089,N,5/7/2020 12:00:00 AM,194,260,2781,2680,3400,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334825,"19TH AVE, N/O E HOWELL ST",2652,00905/0180,TOTAL,STANDARD,7,0,0,0,1369.59631935, ,1369.59631934735
1407,0,"6504,6502,6503,14462","42ND AVE E,E MCGILVRA ST",1234,N,7/21/2020 12:00:00 AM,62,95,970,970,1000,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335403,"42ND AVE E, S/O E LYNN ST",6503,03405/0200,S,STANDARD,7,0,0,0,2239.41950503, ,2239.41950503385
1408,0,"17056,17057,17059,17058,12262","NE 55TH ST,PRINCETON AVE NE",1552,N,3/2/2020 12:00:00 AM,460,531,5387,4985,5400,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334299,"NE 55TH ST, W/O 45TH AVE NE",17057,13375/0420,TOTAL,STANDARD,7,0,0,0,2621.22221994, ,2621.22221994092
1409,0,"1586,1585",12TH AVE NE,1689,N,7/8/2020 12:00:00 AM,399,716,6439,6059,6700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335322,"12TH AVE NE, N/O NE 71ST ST",1586,00330/0710,N,STANDARD,7,0,0,0,508.176258243, ,508.176258243477
1410,0,"8412,8420,8419,8418,8416,8413,8414,8415,8417",8TH AVE NW,41,N,2/20/2020 12:00:00 AM,596,722,7735,7320,5600,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334032,"8TH AVE NW, S/O NW 92ND ST",8417,04800/0900,TOTAL,STANDARD,7,0,0,0,3960.49481321, ,3960.4948132132
1411,0,"19331,19330,19329",S ALBRO PL,227,N,2/19/2020 12:00:00 AM,1204,1305,16110,14414,11600,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334007,"S ALBRO PL, NE/O STANLEY AVE S",19330,15255/0140,TOTAL,STANDARD,7,0,0,0,1529.82676823, ,1529.82676821345
1412,0,"18068,18069",NE RAVENNA BLVD,1593,N,7/17/2020 12:00:00 AM,151,206,2364,2303,2500,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335412,"NE RAVENNA EB BV, E/O 11TH AVE NE",18068,14010/0110,SE,STANDARD,7,0,0,0,514.044794912, ,514.044794898246
1413,0,166849,BEACON AVE S,359,N,2/26/2020 12:00:00 AM,988,947,11317,10496,8100,Study(Normalized20),Combined,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,333933,"BEACON AVE S, S/O BEACON WR N AVE S",166849,05390/0370,TOTAL,STANDARD,7,0,0,0,3342.59440546, ,3342.59440545497
1414,0,18067,NE RAVENNA BLVD,1596,N,7/17/2020 12:00:00 AM,151,209,2372,2322,2500,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335411,"NE RAVENNA EB BV, E/O ROOSEVELT WAY NE",18067,14010/0100,SE,STANDARD,7,0,0,0,320.116329479, ,320.116329492805
1415,0,"3607,3606,3608",24TH AVE NW,1784,N,2/20/2020 12:00:00 AM,738,781,8650,7937,6200,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334034,"24TH AVE NW, N/O NW 80TH ST",3606,01485/0800,TOTAL,STANDARD,7,0,0,0,1376.15359479, ,1376.15359479006
1416,0,"18072,18074,18073",NE RAVENNA BLVD,1585,N,7/17/2020 12:00:00 AM,108,151,1617,1576,1700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335415,"NE RAVENNA EB BV, SE/O 16TH AVE NE",18073,14010/0160,SE,STANDARD,7,0,0,0,666.960513405, ,666.96051340552
1417,0,1850,14TH AVE,901,N,2/21/2020 12:00:00 AM,573,670,8002,7637,5700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334106,"14TH AVE, N/O E UNION ST",1850,00445/0140,TOTAL,STANDARD,7,0,0,0,356.807427447, ,356.80742744719
1418,0,"6314,6319,6315,6317,6316,6318",40TH AVE NE,1613,N,3/2/2020 12:00:00 AM,565,582,6496,5962,6600,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,334302,"40TH AVE NE, N/O NE 60TH ST",6318,03265/0600,TOTAL,STANDARD,7,0,0,0,2654.55339942, ,2654.55339941742
1419,0,"20689,20688",S LUCILE ST,274,N,10/30/2020 12:00:00 AM,189,200,2051,1632,2100,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335847,"S LUCILE ST, E/O UTAH AVE S",20689,16495/0008,TOTAL,STANDARD,7,0,0,0,694.009942112, ,694.00994211177
1420,0,"9747,9746,23140,9745,9744,9748,9743",CONDON WAY W,1243,N,10/23/2020 12:00:00 AM,54,70,712,662,700,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335790,"CONDON WAY W, NW/O W NEWTON ST",9745,06035/0200,TOTAL,STANDARD,7,0,0,0,1925.89465866, ,1925.8946586716
1421,0,"12954,18030,18033,18029,18031,18032,16125,16127,16129,16132,16133,16131,16128,16134,16126,16130","STONE WAY N,NE NORTHLAKE WAY,N NORTHLAKE WAY",1342,N,6/25/2020 12:00:00 AM,482,654,7416,6543,7400,Study(Normalized20), ,Act,1/1/2015 12:00:00 AM,Original Data,7/1/2021 12:00:00 AM,335142,"NE NORTHLAKE WAY, SW/O 2ND AVE NE",18029,13940/0010,TOTAL,STANDARD,7,0,0,0,6719.708684, ,6719.70868399374
